<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,000000,11.4660000,11.5120000,11.3280000,11.5020000,29061000
20210105,000000,11.5365000,11.6639000,11.4700000,11.5100000,26548000
20210106,000000,11.4456000,11.5004000,11.4100000,11.4640000,29617000
20210108,000000,11.4780000,11.5613000,11.4425000,11.4680000,12122000
20210111,000000,11.4966000,11.5639000,11.4731000,11.5300000,74169000
20210112,000000,11.5200000,11.5200000,11.3939000,11.4100000,74373000
20210113,000000,11.3901000,11.4479000,11.3726000,11.3940000,55970000
20210114,000000,11.4102000,11.4494000,11.3081000,11.3350000,49071000
20210115,000000,11.3521000,11.3949000,11.3121000,11.3470000,89147000
20210118,000000,11.4046000,11.4339000,11.3671000,11.3915000,35120000
20210119,000000,11.3709000,11.4079000,11.3400000,11.3740000,28496000
20210120,000000,11.3679000,11.3904000,11.3265000,11.3810000,19728000
20210121,000000,11.3545000,11.4500000,11.3400000,11.4235000,65781000
20210122,000000,11.4584000,11.6000000,11.4500000,11.5810000,113304000
20210125,000000,11.5104000,11.6729000,11.5041000,11.6205000,179491000
20210126,000000,11.6669000,11.6839000,11.5820000,11.6050000,256013000
20210127,000000,11.5726000,11.7049000,11.5699000,11.6830000,209543000
20210128,000000,11.6879000,11.7989000,11.6879000,11.7490000,508764000
20210129,000000,11.7834000,11.8199000,11.6881000,11.7500000,377556000
20210201,000000,11.7160000,11.7659000,11.6543000,11.7620000,75902000
20210202,000000,11.7321000,11.8120000,11.6641000,11.8120000,51453000
20210203,000000,11.7739000,11.7961000,11.7261000,11.7500000,50018000
20210204,000000,11.7561000,11.7657000,11.6461000,11.6750000,43804000
20210205,000000,11.6360000,11.6360000,11.5242000,11.5680000,35804000
20210208,000000,11.5241000,11.5629000,11.4940000,11.5300000,44838000
20210209,000000,11.4959000,11.5559000,11.4941000,11.5161000,72741000
20210210,000000,11.4921000,11.5359000,11.4780000,11.5100000,45480000
20210211,000000,11.5021000,11.5219000,11.4681000,11.4780000,30070000
20210212,000000,11.4959000,11.5856000,11.4580000,11.4880000,64986000
20210215,000000,11.4539000,11.4719000,11.4300000,11.4621000,43355000
20210216,000000,11.4439000,11.4942000,11.4165000,11.4580000,44603000
20210217,000000,11.4462000,11.5081000,11.4230000,11.4510000,60462000
20210218,000000,11.4479000,11.4719000,11.3988000,11.4340000,160527000
20210219,000000,11.4609000,11.4840000,11.4436000,11.4670000,52873000
20210220,000000,11.1651000,11.6920000,11.1651000,11.4701000,20653000
20210222,000000,11.4828000,11.6000000,11.4700000,11.4861000,5762000
20210224,000000,11.4441000,11.4609000,11.3921000,11.4050000,72339000
20210225,000000,11.3879000,11.5200000,11.3859000,11.5170000,121076000
20210226,000000,11.5414000,11.5664000,11.4697000,11.5060000,173835000
