Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,6.531700,6.532000,6.531500,6.531700,6.531700,0
2021-01-04,6.525700,6.525700,6.457800,6.532000,6.532000,0
2021-01-05,6.460500,6.466200,6.429400,6.460500,6.460500,0
2021-01-06,6.455200,6.462300,6.443700,6.455200,6.455200,0
2021-01-07,6.460700,6.478000,6.446500,6.460700,6.460700,0
2021-01-08,6.477200,6.477400,6.453800,6.477200,6.477200,0
2021-01-11,6.474400,6.490600,6.467500,6.474300,6.474300,0
2021-01-12,6.479700,6.479900,6.454100,6.479700,6.479700,0
2021-01-13,6.462900,6.470600,6.451300,6.462900,6.462900,0
2021-01-14,6.467000,6.474400,6.459900,6.467000,6.467000,0
2021-01-15,6.473100,6.480100,6.454800,6.473100,6.473100,0
2021-01-18,6.479800,6.496100,6.477200,6.479700,6.479700,0
2021-01-19,6.491400,6.491500,6.469400,6.491400,6.491400,0
2021-01-20,6.477900,6.478100,6.456500,6.477900,6.477900,0
2021-01-21,6.465400,6.465600,6.450900,6.465400,6.465400,0
2021-01-22,6.461300,6.484100,6.459900,6.461400,6.461400,0
2021-01-25,6.480900,6.485100,6.472600,6.480800,6.480800,0
2021-01-26,6.478700,6.478800,6.455200,6.478700,6.478700,0
2021-01-27,6.463700,6.485300,6.451200,6.463700,6.463700,0
2021-01-28,6.482100,6.492400,6.448300,6.482100,6.482100,0
2021-01-29,6.448400,6.465800,6.417800,6.448400,6.448400,0
2021-02-01,6.426800,6.468600,6.426800,6.426800,6.426800,0
2021-02-02,6.467500,6.468900,6.443500,6.467500,6.467500,0
2021-02-03,6.456400,6.461700,6.449000,6.456400,6.456400,0
2021-02-04,6.459200,6.470800,6.456700,6.459200,6.459200,0
2021-02-05,6.470700,6.479900,6.460200,6.470700,6.470700,0
2021-02-08,6.465700,6.465700,6.440300,6.465700,6.465700,0
2021-02-09,6.448000,6.452400,6.431800,6.448000,6.448000,0
2021-02-10,6.434200,6.457300,6.427800,6.434200,6.434200,0
2021-02-11,6.457200,6.457300,6.456900,6.457200,6.457200,0
2021-02-12,6.456900,6.457500,6.456900,6.456900,6.456900,0
2021-02-15,6.457300,6.457500,6.457000,6.457200,6.457200,0
2021-02-16,6.457200,6.457400,6.456400,6.457200,6.457200,0
2021-02-17,6.457100,6.457600,6.456900,6.457100,6.457100,0
2021-02-18,6.457600,6.488400,6.440900,6.457600,6.457600,0
