<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,000000,523.6500000,546.0800000,519.1400000,524.3800000,347389
20210105,000000,524.4500000,537.4900000,523.7300000,536.4100000,135686
20210106,000000,528.9000000,529.5500000,503.5100000,504.7000000,343675
20210107,000000,518.7600000,535.0500000,515.5100000,533.6700000,294360
20210108,000000,534.3600000,536.3400000,521.7600000,531.2200000,242164
20210111,000000,536.6000000,558.3200000,534.5100000,544.5200000,323218
20210112,000000,548.0000000,549.9100000,534.1100000,539.5900000,172666
20210113,000000,538.9900000,544.4400000,535.6000000,541.1300000,160705
20210114,000000,543.0900000,543.0900000,527.4400000,527.8800000,176497
20210115,000000,528.7800000,533.0000000,514.0300000,514.4000000,203164
20210119,000000,520.7400000,523.6300000,514.0500000,520.8500000,110245
20210120,000000,525.0200000,537.1900000,522.5000000,534.6700000,147357
20210121,000000,536.7500000,559.9100000,530.3600000,554.4300000,264445
20210122,000000,550.0900000,553.5700000,545.4400000,548.4700000,242490
20210125,000000,552.3500000,552.9800000,529.7300000,546.3600000,156886
20210126,000000,543.6800000,545.4900000,535.6600000,537.2800000,99868
20210127,000000,528.3000000,528.7500000,511.8100000,516.7500000,267383
20210128,000000,519.6500000,533.3900000,519.1100000,521.6100000,144859
20210129,000000,522.7600000,533.2500000,516.7300000,518.8700000,191191
20210201,000000,522.4100000,530.7000000,516.3700000,529.4500000,169938
20210202,000000,535.8100000,542.8400000,531.6800000,542.2400000,136239
20210203,000000,545.7500000,557.1800000,540.8100000,540.8100000,195237
20210204,000000,541.0000000,546.8300000,533.7500000,546.8300000,118978
20210205,000000,549.2000000,549.2000000,541.9900000,543.4900000,133864
20210208,000000,549.9600000,578.9300000,549.9600000,577.7000000,316219
20210209,000000,574.0200000,583.0000000,568.9000000,570.3500000,142242
20210210,000000,579.0200000,596.2000000,574.4500000,590.7200000,320581
20210211,000000,599.5000000,610.8900000,597.6100000,610.3300000,268265
20210212,000000,601.1200000,611.6300000,591.0700000,598.6600000,275956
20210216,000000,602.5800000,614.6800000,598.7800000,612.7200000,160946
20210217,000000,606.1900000,608.1900000,591.2300000,596.3100000,175394
20210218,000000,589.0000000,594.4000000,583.4800000,592.9100000,142765
20210219,000000,601.7000000,607.0000000,593.9100000,597.1400000,194066
20210222,000000,591.1750000,605.1900000,573.0500000,574.2700000,164005
20210223,000000,562.4800000,569.5200000,536.0300000,565.5000000,212656
20210224,000000,564.2000000,580.2000000,550.7700000,580.1900000,197827
20210225,000000,561.8300000,573.7500000,528.6600000,532.0300000,478199
20210226,000000,551.3800000,554.0000000,534.6700000,548.8100000,360480
20210301,000000,555.2900000,556.7400000,542.3900000,553.9300000,157141
20210302,000000,556.0100000,556.0100000,535.8400000,535.8400000,122198
20210303,000000,538.0000000,538.0000000,511.9600000,512.0000000,168269
20210304,000000,511.9000000,518.8500000,483.6200000,494.4200000,265967
20210305,000000,501.5200000,501.5200000,467.3800000,498.1800000,251304
20210308,000000,498.0400000,498.0400000,462.8100000,463.6300000,312974
20210309,000000,485.2100000,504.5100000,482.9900000,500.7600000,343570
20210310,000000,513.3500000,519.1200000,498.3200000,498.6900000,182419
20210311,000000,517.0000000,521.7700000,509.5200000,519.7700000,159737
20210312,000000,505.8100000,515.4500000,503.9900000,514.2600000,150080
20210315,000000,514.5700000,528.2000000,511.3700000,528.0250000,115099
20210316,000000,534.8800000,540.4700000,525.0000000,531.5100000,153021
20210317,000000,521.8300000,538.0600000,520.0000000,533.8400000,135252
20210318,000000,525.2500000,526.1500000,508.7300000,508.7300000,196834
20210319,000000,511.1200000,516.8600000,504.7600000,514.3200000,160179
20210322,000000,516.6550000,535.7500000,516.6550000,527.6400000,148435
20210323,000000,530.1900000,533.5000000,521.0200000,522.7400000,120258
20210324,000000,525.1200000,525.1200000,505.5700000,505.6400000,149359
20210325,000000,498.8400000,508.1600000,491.0000000,501.1900000,200177
20210326,000000,501.0300000,514.2500000,495.0800000,513.9200000,284430
20210329,000000,512.7700000,522.5000000,508.0000000,517.3800000,158316
20210330,000000,513.3700000,519.0100000,508.6600000,514.8900000,110749
20210331,000000,520.7700000,538.7700000,519.9700000,534.1100000,213730
20210401,000000,543.2800000,554.7800000,540.5000000,552.7300000,248390
20210405,000000,554.5300000,560.4300000,549.4100000,559.0800000,170861
20210406,000000,559.5400000,562.0800000,551.0000000,554.4000000,102055
20210407,000000,553.3600000,569.6900000,548.7600000,565.3400000,197692
20210408,000000,570.1100000,578.7500000,570.0000000,572.7200000,119283
20210409,000000,569.9900000,576.2200000,567.0000000,576.0000000,125670
20210412,000000,571.6800000,614.1000000,565.8100000,608.2300000,546473
20210413,000000,609.7400000,627.9300000,605.3700000,627.2000000,414396
20210414,000000,624.4000000,628.6600000,609.1700000,611.0300000,200026
20210415,000000,625.5000000,648.5000000,625.5000000,645.6100000,391626
20210416,000000,642.3900000,646.6300000,634.8100000,636.4000000,208699
20210419,000000,620.7500000,631.7000000,609.7500000,614.2900000,185106
20210420,000000,612.3200000,619.6600000,599.0000000,606.6100000,197109
20210421,000000,604.9700000,614.3600000,604.6900000,614.3600000,97512
20210422,000000,616.8400000,617.1000000,591.4800000,593.9000000,200647
20210423,000000,596.7900000,613.3700000,596.7900000,610.7800000,151788
20210426,000000,607.1600000,618.9600000,605.0000000,618.9600000,94439
20210427,000000,624.0000000,626.6900000,614.3700000,615.6100000,90502
20210428,000000,614.8700000,621.0600000,608.7300000,610.5800000,82831
20210429,000000,615.9000000,616.9800000,602.8600000,613.0300000,106531
20210430,000000,607.4800000,614.2500000,599.9700000,600.3700000,140243
20210503,000000,605.1000000,609.3100000,591.6300000,593.3400000,92320
20210504,000000,583.6300000,584.8800000,560.6900000,574.3200000,131305
20210505,000000,588.3600000,592.2100000,575.7600000,578.4800000,137859
