<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,000000,0.2227600,0.2292000,0.2226400,0.2255000,1386530000
20210105,000000,0.2262800,0.2293000,0.2241600,0.2291400,950690000
20210106,000000,0.2292600,0.2307200,0.2276800,0.2290400,944020000
20210108,000000,0.2299600,0.2320800,0.2290200,0.2306200,1410550000
20210111,000000,0.2300000,0.2315200,0.2283200,0.2304600,1823320000
20210112,000000,0.2294000,0.2306400,0.2236000,0.2258400,1603310000
20210113,000000,0.2254000,0.2270000,0.2205600,0.2219000,1724090000
20210114,000000,0.2220000,0.2247000,0.2202600,0.2226600,1583200000
20210115,000000,0.2215200,0.2249800,0.2198000,0.2208000,1361690000
20210118,000000,0.2200000,0.2220200,0.2182000,0.2215200,1042560000
20210119,000000,0.2220000,0.2235000,0.2188600,0.2196000,1175160000
20210120,000000,0.2196800,0.2224000,0.2191000,0.2222000,647350000
20210121,000000,0.2221000,0.2223600,0.2161000,0.2173000,1494490000
20210122,000000,0.2165000,0.2180000,0.2142200,0.2169800,1104900000
20210125,000000,0.2169400,0.2176600,0.2146000,0.2169800,1285280000
20210126,000000,0.2162000,0.2178200,0.2145600,0.2162400,684270000
20210127,000000,0.2164600,0.2188200,0.2130000,0.2139600,1262680000
20210128,000000,0.2129400,0.2164000,0.2114000,0.2150200,1086820000
20210129,000000,0.2148000,0.2154600,0.2094400,0.2130000,2760260000
20210201,000000,0.2142600,0.2146000,0.2130000,0.2145000,611580000
20210202,000000,0.2148000,0.2171800,0.2143000,0.2148800,903540000
20210203,000000,0.2153400,0.2193800,0.2133200,0.2169600,1652200000
20210204,000000,0.2170000,0.2187800,0.2161000,0.2169800,835720000
20210205,000000,0.2180000,0.2183000,0.2156600,0.2169400,571680000
20210208,000000,0.2172600,0.2212600,0.2165800,0.2201800,1258190000
20210209,000000,0.2210000,0.2211000,0.2166800,0.2201000,998190000
20210210,000000,0.2198600,0.2209800,0.2161200,0.2167200,1141990000
20210211,000000,0.2166600,0.2183000,0.2151600,0.2160800,974670000
20210212,000000,0.2160800,0.2183800,0.2145200,0.2183800,1380270000
20210215,000000,0.2189800,0.2206600,0.2178800,0.2199400,1101580000
20210216,000000,0.2200000,0.2228000,0.2180400,0.2215600,1320680000
20210217,000000,0.2219800,0.2224200,0.2173000,0.2199000,1395850000
20210218,000000,0.2197000,0.2199800,0.2171000,0.2178600,1192490000
20210219,000000,0.2184800,0.2184800,0.2145800,0.2155000,1806370000
20210220,000000,0.2151400,0.2164400,0.2132000,0.2161200,370000000
20210222,000000,0.2159000,0.2179000,0.2138600,0.2175800,1086580000
20210224,000000,0.2159200,0.2160000,0.2111000,0.2147000,2434900000
20210225,000000,0.2137400,0.2174000,0.2135400,0.2149800,1370230000
20210226,000000,0.2135000,0.2154800,0.2122400,0.2146200,971820000
20210301,000000,0.2156000,0.2158000,0.2125000,0.2142800,777330000
20210302,000000,0.2137800,0.2144800,0.2114200,0.2143600,1088300000
20210303,000000,0.2144600,0.2156600,0.2125000,0.2145000,1541860000
20210304,000000,0.2149000,0.2152800,0.2109200,0.2111400,1360920000
20210305,000000,0.2112000,0.2126000,0.2098800,0.2118600,1149310000
20210309,000000,0.2125400,0.2131000,0.2094800,0.2108000,1223140000
20210310,000000,0.2100000,0.2106600,0.2086000,0.2101400,2367550000
20210311,000000,0.2101000,0.2119400,0.2095600,0.2110000,790540000
20210312,000000,0.2106400,0.2116600,0.2093200,0.2111800,1877700000
20210315,000000,0.2116600,0.2165000,0.2107200,0.2162000,2290160000
20210316,000000,0.2163400,0.2168800,0.2116400,0.2134200,1378140000
20210317,000000,0.2129200,0.2148400,0.2100000,0.2127000,2041650000
20210318,000000,0.2141000,0.2149800,0.2107000,0.2109000,1731040000
20210319,000000,0.2115000,0.2148600,0.2104600,0.2140800,3166630000
20210322,000000,0.2141800,0.2153800,0.2131600,0.2144000,1389870000
20210323,000000,0.2141400,0.2161000,0.2120600,0.2122000,1648470000
20210324,000000,0.2125000,0.2166200,0.2117000,0.2153000,1494480000
20210325,000000,0.2163000,0.2163000,0.2128000,0.2145400,871440000
20210326,000000,0.2153800,0.2156600,0.2131200,0.2148600,1098170000
20210329,000000,0.2145400,0.2158600,0.2140600,0.2150000,690830000
20210330,000000,0.2158000,0.2174800,0.2132600,0.2168000,1399870000
20210331,000000,0.2171800,0.2176800,0.2150000,0.2174200,859920000
20210401,000000,0.2175000,0.2189400,0.2137200,0.2148000,1394620000
20210402,000000,0.2152000,0.2156200,0.2137200,0.2148400,589070000
20210405,000000,0.2148400,0.2152000,0.2104200,0.2120000,1804450000
20210406,000000,0.2122000,0.2129000,0.2093200,0.2100000,1208870000
20210407,000000,0.2101000,0.2128200,0.2057400,0.2120000,1636580000
20210408,000000,0.2127000,0.2128000,0.2090400,0.2107000,1256940000
20210409,000000,0.2102600,0.2120000,0.2092000,0.2117800,1720780000
20210412,000000,0.2114000,0.2133200,0.2093000,0.2120000,869550000
20210413,000000,0.2128000,0.2145200,0.2103600,0.2143600,3031680000
20210414,000000,0.2150000,0.2154600,0.2116000,0.2129400,1517450000
20210415,000000,0.2104800,0.2135800,0.2093000,0.2112000,897040000
20210416,000000,0.2122200,0.2141800,0.2111400,0.2137800,811450000
20210419,000000,0.2133000,0.2153000,0.2124400,0.2140200,688000000
20210420,000000,0.2145000,0.2147200,0.2117800,0.2121800,699780000
20210421,000000,0.2122600,0.2146400,0.2116000,0.2142400,869480000
20210422,000000,0.2143600,0.2146200,0.2126400,0.2137400,921900000
20210423,000000,0.2144400,0.2152000,0.2128800,0.2144400,572670000
20210426,000000,0.2156800,0.2167000,0.2154600,0.2162400,1376790000
20210427,000000,0.2167000,0.2168000,0.2137000,0.2147400,909990000
20210428,000000,0.2154000,0.2154800,0.2133400,0.2153000,713250000
20210429,000000,0.2154200,0.2156800,0.2134600,0.2145400,627680000
20210430,000000,0.2145200,0.2149800,0.2121400,0.2132000,1103980000
20210504,000000,0.2130000,0.2149800,0.2128600,0.2139000,525200000
