<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,000000,74.1350000,74.4050000,73.0550000,74.3300000,2196588000
20210105,000000,74.1125000,75.2875000,73.8500000,74.0400000,2696328000
20210106,000000,73.7800000,74.2075000,73.3975000,73.9225000,2002842000
20210108,000000,74.2650000,74.8350000,73.8175000,74.1550000,2341573000
20210111,000000,74.4325000,75.0000000,74.2650000,74.6600000,3943607000
20210112,000000,74.4600000,74.4600000,73.5000000,73.5400000,3501136000
20210113,000000,73.5000000,73.9800000,73.3750000,73.7475000,3171863000
20210114,000000,73.7700000,74.0100000,73.1025000,73.2100000,3229002000
20210115,000000,73.4550000,73.8875000,73.2625000,73.6450000,3269638000
20210118,000000,74.0075000,74.3800000,73.7700000,73.9950000,3006420000
20210119,000000,73.8275000,73.9350000,73.2275000,73.6800000,2835426000
20210120,000000,73.6800000,73.6875000,73.2100000,73.5200000,2580472000
20210121,000000,73.2700000,74.1000000,73.2000000,73.8450000,3281377000
20210122,000000,74.0675000,75.3625000,74.0675000,75.3000000,4567485000
20210125,000000,74.9325000,75.8675000,74.5300000,75.3675000,4163717000
20210126,000000,75.5550000,75.7900000,74.9325000,75.0850000,3617354000
20210127,000000,75.0675000,75.9825000,74.8400000,75.8500000,4408994000
20210128,000000,75.8425000,76.5000000,75.6775000,75.9575000,4448492000
20210129,000000,76.2325000,76.3550000,75.2325000,75.7550000,4177465000
20210201,000000,75.5975000,76.2000000,75.3500000,76.1475000,3338404000
20210202,000000,75.9925000,76.2400000,75.3100000,76.2250000,3651471000
20210203,000000,75.9300000,76.3425000,75.7700000,75.9275000,2924119000
20210204,000000,76.0200000,76.0550000,75.3025000,75.5050000,3325134000
20210205,000000,75.4400000,75.4675000,74.5125000,74.6450000,3325226000
20210208,000000,74.5000000,74.5775000,74.1500000,74.3000000,2818242000
20210209,000000,74.0525000,74.2600000,73.8600000,73.8875000,3172373000
20210210,000000,73.8650000,74.0200000,73.6150000,73.9450000,3134934000
20210211,000000,73.8475000,73.8650000,73.5225000,73.6050000,2092206000
20210212,000000,73.8300000,74.4725000,73.5000000,73.7175000,4016662000
20210215,000000,73.3800000,73.4900000,73.1250000,73.3250000,2266289000
20210216,000000,73.2800000,73.9100000,73.1400000,73.6400000,3354717000
20210217,000000,73.7675000,74.2000000,73.5500000,73.7100000,3338884000
20210218,000000,73.8050000,74.1675000,73.5125000,73.9100000,3299953000
20210219,000000,73.9525000,74.2000000,73.8000000,74.1250000,3139613000
20210220,000000,74.1200000,74.1850000,73.8650000,74.0800000,531365000
20210222,000000,74.1900000,75.0750000,74.0675000,74.3000000,2274252000
20210224,000000,74.0175000,74.0325000,73.4000000,73.5400000,3478001000
20210225,000000,73.3875000,74.8475000,73.3250000,74.7500000,4263692000
20210226,000000,74.6375000,74.9250000,74.2475000,74.6300000,4977519000
20210301,000000,74.2500000,74.4975000,73.9000000,74.1650000,3543895000
20210302,000000,74.3300000,74.7275000,73.5975000,73.8100000,4189786000
20210303,000000,73.8150000,74.0625000,73.4000000,73.9700000,2939534000
20210304,000000,73.9700000,74.9800000,73.3500000,74.7000000,4186600000
20210305,000000,74.5050000,74.7850000,74.1050000,74.2025000,4517162000
20210309,000000,74.5000000,74.5350000,73.7775000,73.9150000,2647131000
20210310,000000,73.9700000,74.1400000,73.6000000,73.6025000,2611814000
20210311,000000,73.6000000,73.8700000,73.1800000,73.3000000,3233595000
20210312,000000,73.3525000,73.7375000,73.2300000,73.3300000,3280359000
20210315,000000,73.4000000,73.4775000,72.8050000,72.8050000,3267878000
