<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,000000,144.3500000,146.8800000,144.2800000,146.4700000,273368
20210105,000000,146.7400000,147.0100000,144.5000000,145.7200000,150141
20210106,000000,145.2000000,148.1000000,145.1700000,146.7100000,242870
20210107,000000,147.6200000,147.7400000,146.0700000,146.6500000,142738
20210108,000000,146.8500000,147.0000000,145.8500000,146.6200000,162255
20210111,000000,146.0000000,147.9800000,146.0000000,147.3100000,242811
20210112,000000,148.9700000,149.9200000,148.3500000,148.9700000,349780
20210113,000000,148.7400000,149.0400000,147.4400000,147.4500000,184669
20210114,000000,147.8200000,148.0000000,146.0400000,146.9300000,263490
20210115,000000,145.1200000,145.9000000,143.6900000,144.6700000,309916
20210119,000000,144.8000000,145.0550000,142.7000000,143.3900000,219487
20210120,000000,143.7200000,145.6300000,142.9000000,145.5000000,356722
20210121,000000,145.5300000,145.6600000,144.2100000,144.9000000,168351
20210122,000000,145.5900000,147.2800000,145.1200000,146.3000000,242474
20210125,000000,145.4000000,146.2500000,144.2700000,146.2300000,193331
20210126,000000,145.5500000,147.8000000,145.5000000,147.5900000,203976
20210127,000000,146.9800000,147.8100000,143.5900000,143.8800000,383551
20210128,000000,144.4600000,146.2100000,143.6300000,143.7000000,232036
20210129,000000,143.4800000,143.6600000,140.3700000,140.5100000,360182
20210201,000000,140.9700000,141.4400000,139.2000000,139.2400000,258745
20210202,000000,139.7500000,142.1400000,139.5500000,140.7700000,360486
20210203,000000,140.6300000,142.0100000,140.6300000,141.1900000,164745
20210204,000000,141.7500000,143.1800000,141.2900000,142.5100000,208256
20210205,000000,143.2500000,144.8400000,142.5500000,144.3000000,310182
20210208,000000,144.5700000,145.5500000,144.4800000,144.9500000,223878
20210209,000000,144.7600000,146.3200000,144.6700000,145.8500000,233213
20210210,000000,145.8000000,145.8000000,143.6000000,144.0400000,196542
20210211,000000,144.1300000,144.9400000,143.7250000,144.0400000,134268
20210212,000000,144.0200000,144.6050000,143.7100000,144.4600000,176817
20210216,000000,145.9300000,146.3700000,144.9800000,145.6800000,346467
20210217,000000,144.7600000,147.4100000,144.5900000,147.2300000,388218
20210218,000000,139.1000000,140.6200000,137.5100000,137.5300000,1380119
20210219,000000,137.7000000,139.4200000,137.6700000,138.3600000,418151
